Company Name,Company Website,url,,Location,Company_name,,url_type,power_url,wait_for,,item_selector,detail_trigger_selector,detail_content_selector,next_button_selector,back_button_selector,search_selector,enter_selector
Microsoft Careers,https://microsoft.com/,https://jobs.careers.microsoft.com/global/en/search?l=en_us&pg=1&pgSz=20&o=Relevance&flt=true&ref=cms,,"Redmond, WA, USA",Software Vendor,,dynamic,https://jobs.careers.microsoft.com/global/en/search?q=power%20platform&l=en_us&pg=1&pgSz=20&o=Recent,"[role=""listitem""]",,"[role=""listitem""]","button.ms-Link:has-text(""See details"")","[data-bi-id=""job-detail""], .jobDetail, main[role=""main""]","button[aria-label=""Next""]","button[aria-label=""Back to search""]",,
Tata Consultancy Services (TCS),https://www.tcs.com/,https://ibegin.tcs.com/iBegin/jobs/search,,"Mumbai, India (Global)",Microsoft Partner (Consulting Firm),,dynamic,https://ibegin.tcsapps.com/candidate/jobs/search,"class=""row custom-row searched-job ng-scope""",,"class=""job-data-bar""","data-ng-click=""jobDesc(j.jobId)""","class=""job-description-content""","a:not(.disabled)[ng-show=""showExtraButtons()""]","data-key=""jobDescription.backToSearchResults""","data-ng-model=""searchString""",
CGI Inc.,https://www.cgi.com/,https://cgi.njoyn.com/corp/xweb/xweb.asp?CLID=21001&page=joblisting&lang=1,,"Montreal, Canada (Global)",Microsoft Partner (Consulting Firm),,semi_dynamic,https://cgi.njoyn.com/corp/xweb/xweb.asp?NTKN=c&clid=21001&Page=joblisting,tr,,tr,,"class=""job-desc""",,,"id=""Inp_Keywords""","id=""joblistingsearchbutton"""
Zensar Technologies,https://www.zensar.com/,https://fa-etvl-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=power+platform&mode=location&sortBy=POSTING_DATES_ASC,,"Pune, India (Global)",Microsoft Partner (Consulting Firm),,dynamic ,https://fa-etvl-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=power+platform&mode=location&sortBy=POSTING_DATES_ASC,"class=""job-grid-item__body""",,"class=""job-grid-item__body""","class=""job-grid-item__link""","class=""cc-column__content""",,"id=""dialogCloseButton""",,
Insight Enterprises,https://www.insight.com/,https://careers.insight.com/careers,,"Tempe, AZ, USA",Microsoft Partner (Consulting Firm),,dynamic,https://careers.insight.com/careers,"role=""link""",,"role=""link""","role=""link""","class=""position-full-card""",,"class=""col-xs-5 ""","id=""main-search-box""","class=""go-button"""
Noir Consulting,https://noirconsulting.co.uk/,https://www.noirconsulting.co.uk/job-search/,,"London, UK",Recruiting Firm,,semi_dynamic ,https://www.noirconsulting.co.uk/job-search/,"class=""job_listings col-lg-8""",,"class=""job_listings col-lg-8""",,,,,"id=""search_keywords""","type=""submit"""
Hire With Jarvis,https://hirewithjarvis.com/,https://hirewithjarvis.com/jobs/,,"Greenville, SC, USA",Recruiting Firm,,semi_dynamic ,https://hirewithjarvis.com/jobs/,"class=""job_listings""",,"class=""job_listings""",sdf-link,"class=""job-description-data""",a,"id=""recruitment_jobDescription_back""","id=""search_keywords""","input[value=""Search Jobs""]"
Applied Information Sciences (AIS),https://www.ais.com/,https://www.ais.com/careers/,,"Reston, VA, USA",Microsoft Partner (Consulting Firm),,dynamic ,,,,,,,a,,,
Sunrise Technologies,https://sunrise.co/,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=7994a2e9-6b8e-4b25-8f4a-11bc8210150a&ccId=19000101_000001&type=MP&lang=en_US&selectedMenuKey=CurrentOpenings,,"Winston-Salem, NC, USA",Microsoft Partner (Consulting Firm),,dynamic,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=7994a2e9-6b8e-4b25-8f4a-11bc8210150a&ccId=19000101_000001&type=MP&lang=en_US&selectedMenuKey=CurrentOpenings,"class=""current-openings-item""",,"class=""current-openings-item""",,,,,"id=""input""","aria-label=""Search"""
The Squires Group,https://squiresgroup.com/,https://jobs.squiresgroup.com/index.smpl?arg=jb_search_results,,"Annapolis, MD, USA",Recruiting Firm,,dynamic ,https://jobs.squiresgroup.com/index.smpl?arg=jb_search,"class=""job-post-title""",,"class=""job-post-title""","class=""job-post-href""","id=""job-details-column""",,"a:has-text(""Back to results"")","id=""keywords""","id=""submit"""
Long View Systems,https://www.longviewsystems.com/,https://www.longviewsystems.com/jobs/,,,,,dynamic,https://www.longviewsystems.com/jobs/,,,,,,,,,
Noventiq,https://noventiq.com/,https://noventiq.darwinbox.com/ms/candidate/careers%20/careers,,,,,dynamic,,,,,,,,,,